Name,Queens Road Small Cap Value,Morningstar US Small Value NR USD,Russell 2000 Pure Value TR USD,Mkt-RF,SMB,HML,RF
2010-94,2.01,-0.07,-1.09,2.25,-1.94,-0.06,0.09
2010-95,2.34,3.19,2.96,3.12,-0.66,-0.05,0.08
2010-96,-0.32,0.70,0.64,1.06,-1.26,0.14,0.09
2010-97,0.99,1.13,-0.60,5.58,-3.03,-1.37,0.11
2010-98,-3.11,-6.52,-6.14,-3.65,0.28,-1.19,0.11
2010-99,-0.05,0.12,2.27,-2.35,3.93,-0.11,0.12
2010-100,-1.87,0.89,3.84,0.29,1.1,0.53,0.14
2010-101,5.39,4.04,5.49,2.65,5.24,-3.16,0.14
2010-102,1.02,1.62,1.10,0.48,1.17,-2.39,0.14
2010-103,2.39,1.99,1.39,3.19,-2.15,0.39,0.16
2010-104,0.74,1.96,2.66,3.44,1.23,-4.12,0.16
2010-105,-1.24,-2.23,-2.34,0.06,-2.37,-1.34,0.15
2010-106,-5.90,-8.96,-6.69,-7.68,-4.68,3.41,0.19
2010-107,4.47,1.35,0.44,1.69,-0.74,0.19,0.18
2010-108,-6.66,-12.62,-12.24,-9.55,-2.6,-1.51,0.19
2010-109,7.68,12.49,10.90,8.41,3.01,-0.6,0.21
