Name,SecId,Enhanced Index,Index Fund
Calvert US Mid Cap Core Rspnb Idx A,F00000W598,No,Yes
Calvert US Mid Cap Core Rspnb Idx I,F00000W59B,No,Yes
Calvert US Mid Cap Core Rspnb Idx R6,F00001DERC,No,Yes
Calvert International Responsible Idx A,F00000W59C,No,Yes
Calvert International Responsible Idx I,F00000W59F,No,Yes
Calvert International Responsible Idx R6,F000011XK2,No,Yes
T. Rowe Price Mid-Cap Index,F00000W6ZL,No,Yes
T. Rowe Price Mid-Cap Index I,F00000W6ZM,No,Yes
T. Rowe Price Mid-Cap Index Z,F000014VOC,No,Yes
T. Rowe Price Small-Cap Index,F00000W6ZN,No,Yes
T. Rowe Price Small-Cap Index I,F00000W6ZO,No,Yes
T. Rowe Price Small-Cap Index Z,F000014VOD,No,Yes
Fidelity? SAI Real Estate Index,F00000WCQ9,No,Yes
Fidelity? SAI US Large Cap Index,F00000WCQA,No,Yes
Fidelity? SAI US Treasury Bd Idx,F00000WNVI,No,Yes
Direxion Monthly NASDAQ-100? Bll 1.25X,F00000WRQ1,No,Yes
Rydex Dow Jones Industrial Average? H,F00000W935,No,Yes
Rydex Dow Jones Industrial Average? C,F00000W936,No,Yes
Rydex Dow Jones Industrial Average? A,F00000W937,No,Yes
Fidelity? SAI Small-Mid Cap 500 Index,F00000VUNY,No,Yes
Vanguard Intl Div Apprec Idx Adm,F00000WC5M,No,Yes
Vanguard Intl Hi Div Yld Adm,F00000WC5N,No,Yes
Direxion Monthly High Yld Bull 1.2X Inv,F00000WKEZ,No,Yes
Donoghue Forlines Momentum A,F00000WYE6,No,Yes
Donoghue Forlines Momentum C,F00000WYE7,No,Yes
Donoghue Forlines Momentum I,F00000WYE8,No,Yes
Green Century MSCI Intl Indx Indvl Inv,F00000XGOS,No,Yes
Green Century MSCI Intl Indx Instl,F00000XGOT,No,Yes
Invesco MSCI World SRI Index R6,F00000X7KZ,No,Yes
Invesco MSCI World SRI Index A,F00000X7L0,No,Yes
Invesco MSCI World SRI Index C,F00000X7L1,No,Yes
Invesco MSCI World SRI Index R,F00000X7L2,No,Yes
Invesco MSCI World SRI Index Y,F00000X7L3,No,Yes
Invesco MSCI World SRI Index R5,F00000X7L4,No,Yes
PGIM Quant Solutions US Broad Mkt Idx R6,F00000XS8Y,No,Yes
Fidelity? Large Cap Value Index,F00000WZVI,No,Yes
Fidelity? Total International Index,F00000WZVM,No,Yes
Fidelity? Large Cap Growth Idx,F00000WZW5,No,Yes
iShares Short-Term TIPS Bond Idx K,F00000WLUB,No,Yes
iShares Short-Term TIPS Bond Idx Inv A,F00000WLUD,No,Yes
iShares Short-Term TIPS Bond Idx Instl,F00000WLUE,No,Yes
Fidelity? Series Long-Term Trs Bd Idx,F00000X57W,No,Yes
Schwab Short-Term Bond Index,F00000Y6BG,No,Yes
Schwab US Aggregate Bond Index,F00000Y6C1,No,Yes
Fidelity? SAI Emerging Markets Index,F00000WCPE,No,Yes
Fidelity? SAI International Index,F00000WCPF,No,Yes
PGIM Quant Solutions Intl Dev Mkts IdxR6,F00000XS8W,No,Yes
Fidelity? SAI US Momentum Index,F00000Y73V,No,Yes
JNL/Morningstar U.S. Sust Idx A,F00000YBVR,No,Yes
JNL/Morningstar U.S. Sust Idx I,F00000Z2A8,No,Yes
Fidelity? Intl Sustainability Idx,F00000YJ07,No,Yes
Fidelity? U.S. Sustainability Index,F00000YJ0A,No,Yes
Fidelity? Flex US Bond Index,F00000Y8GR,No,Yes
Fidelity? Flex International Index,F00000Y8GS,No,Yes
Fidelity? ZERO Total Market Index,F00000Y8GT,No,Yes
Fidelity? ZERO International Index,F00000Y8GU,No,Yes
Fidelity? Flex Mid Cap Index,F00000Y8GV,No,Yes
Fidelity? Flex Small Cap Index,F00000Y8GZ,No,Yes
Fidelity? Flex 500 Index,F00000Y8H0,No,Yes
