Name,SecId,Enhanced Index,Index Fund
Huber Select Large Cap Value Inv,FOUSA06J6G,No,No
Huber Small Cap Value Instl,F00000MTWT,No,No
Huber Small Cap Value Inv,FOUSA06J6H,No,No
PF Small-Cap Value P,F00000J3NN,No,No
JPMorgan SmartRetirement? 2025 R6,F00000U89U,No,No
JPMorgan SmartRetirement? 2025 R3,F00000WXVU,No,No
JPMorgan SmartRetirement? 2025 R4,F00000WXVV,No,No
JPMorgan SmartRetirement? 2025 A,FOUSA06J89,No,No
JPMorgan SmartRetirement? 2025 C,FOUSA06J8A,No,No
JPMorgan SmartRetirement? 2025 R5,FOUSA06J8B,No,No
JPMorgan SmartRetirement? 2025 I,FOUSA06K41,No,No
JPMorgan SmartRetirement? 2025 R2,FOUSA07XY4,No,No
JPMorgan SmartRetirement? 2035 R6,F00000U89X,No,No
JPMorgan SmartRetirement? 2035 R3,F00000WXVW,No,No
JPMorgan SmartRetirement? 2035 R4,F00000WXVX,No,No
JPMorgan SmartRetirement? 2035 A,FOUSA06J8C,No,No
JPMorgan SmartRetirement? 2035 C,FOUSA06J8D,No,No
JPMorgan SmartRetirement? 2035 R5,FOUSA06J8E,No,No
JPMorgan SmartRetirement? 2035 I,FOUSA06K42,No,No
JPMorgan SmartRetirement? 2035 R2,FOUSA07XY5,No,No
JPMorgan SmartRetirement? 2045 R6,F00000U8A0,No,No
JPMorgan SmartRetirement? 2045 R3,F00000WXVY,No,No
JPMorgan SmartRetirement? 2045 R4,F00000WXVZ,No,No
JPMorgan SmartRetirement? 2045 A,FOUSA06J8F,No,No
JPMorgan SmartRetirement? 2045 C,FOUSA06J8G,No,No
JPMorgan SmartRetirement? 2045 R5,FOUSA06J8H,No,No
JPMorgan SmartRetirement? 2045 I,FOUSA06K43,No,No
JPMorgan SmartRetirement? 2045 R2,FOUSA07XY6,No,No
JPMorgan SmartRetirement? 2050 R6,F00000U8A3,No,No
JPMorgan SmartRetirement? 2050 R3,F00000WXW0,No,No
JPMorgan SmartRetirement? 2050 R4,F00000WXW1,No,No
JPMorgan SmartRetirement? 2050 A,FOUSA06J8I,No,No
JPMorgan SmartRetirement? 2050 C,FOUSA06J8J,No,No
JPMorgan SmartRetirement? 2050 R5,FOUSA06J8K,No,No
JPMorgan SmartRetirement? 2050 I,FOUSA06KAV,No,No
JPMorgan SmartRetirement? 2050 R2,FOUSA07XY7,No,No
DFA US Social Core Equity 2 Portfolio,FOUSA06JB4,No,No
Delaware Healthcare A,FOUSA06JBZ,No,No
Delaware Healthcare C,FOUSA06JC0,No,No
Delaware Healthcare R,FOUSA06JC1,No,No
Delaware Healthcare I,FOUSA06JC2,No,No
Cromwell Marketfield L/S A,F00000OVLW,No,No
Cromwell Marketfield L/S C,F00000OVLX,No,No
Cromwell Marketfield L/S I,FOUSA06JC7,No,No
Virtus Duff & Phelps Intl Rl Estt Secs A,FOUSA06JC8,No,No
Virtus Duff & Phelps Intl Rl Estt Secs C,FOUSA06JC9,No,No
Virtus Duff & Phelps Intl Rl Estt Secs I,FOUSA06JCA,No,No
Boston Trust Midcap,FOUSA06JCD,No,No
Wasatch Emerging Markets Small Cap Instl,F00000WLTD,No,No
Wasatch Emerging Markets Small Cap Inv,FOUSA06JGS,No,No
RBB Free Market US Equity Instl,FOUSA06JJU,No,No
RBB Free Market International Eq Instl,FOUSA06JJV,No,No
RBB Free Market Fixed Income Instl,FOUSA06JJW,No,No
Buffalo International Institutional,F000013URA,No,No
Buffalo International,FOUSA06JJX,No,No
Marsico Global Institutional,F00001CMDM,No,No
Marsico Global,FOUSA06JN1,No,No
DWS RREEF Real Assets R,F00000LZUR,No,No
DWS RREEF Real Assets R6,F00000V16Y,No,No
DWS RREEF Real Assets T,F00000YP0J,No,No
DWS RREEF Real Assets A,FOUSA06JNH,No,No
DWS RREEF Real Assets C,FOUSA06JNI,No,No
DWS RREEF Real Assets Inst,FOUSA06JNJ,No,No
DWS RREEF Real Assets S,FOUSA06JNK,No,No
Fidelity Managed Retirement 2015 K6,F000013DIU,No,No
Fidelity Managed Retirement 2015 K,F000013DIV,No,No
Fidelity Advisor? Managed Retrmt 2015 Z6,F000013OE5,No,No
Fidelity Managed Retirement 2015,FOUSA06K4O,No,No
Fidelity Advisor? Managed Retrmt 2015 A,FOUSA06K4P,No,No
Fidelity Advisor? Managed Retrmt 2015 I,FOUSA06K4T,No,No
Fidelity Simplicity RMD 2015,FOUSA06K4V,No,No
Fidelity Managed Retirement Inc K,F000013DJ0,No,No
Fidelity Managed Retirement Inc K6,F000013DJ1,No,No
Fidelity Advisor? Managed Retrmt Inc Z6,F000013OE6,No,No
Fidelity Managed Retirement Inc,FOUSA06K5A,No,No
Fidelity Advisor? Managed Retrmt Inc A,FOUSA06K5B,No,No
Fidelity Advisor? Managed Retrmt Inc I,FOUSA06K5E,No,No
Fidelity Simplicity RMD Income,FOUSA06K5F,No,No
Fidelity Managed Retirement 2010 K6,F000013DIS,No,No
Fidelity Managed Retirement 2010 K,F000013DIT,No,No
Fidelity Advisor? Managed Retrmt 2010 Z6,F000013OE8,No,No
Fidelity Managed Retirement 2010,FOUSA06K5U,No,No
Fidelity Advisor? Managed Retrmt 2010 A,FOUSA06K5V,No,No
Fidelity Advisor? Managed Retrmt 2010 I,FOUSA06K5Y,No,No
Fidelity Simplicity RMD 2010,FOUSA06K5Z,No,No
Mondrian Emerging Markets Value Equity,FOUSA06K7V,No,No
Mondrian International Govt Fxd Inc,FOUSA06K7Y,No,No
T. Rowe Price Africa & Middle East I,F00000YM00,No,No
T. Rowe Price Africa & Middle East Z,F0000167S1,No,No
T. Rowe Price Africa & Middle East,FOUSA06KA6,No,No
Miller Convertible Bond C,F00000454L,No,No
Miller Convertible Bond I,FOUSA06KAN,No,No
Miller Convertible Bond A,FOUSA06KAO,No,No
William Blair Global Leaders N,FOUSA06KAR,No,No
William Blair Global Leaders I,FOUSA06KAS,No,No
William Blair Global Leaders R6,FOUSA06KAT,No,No
BNY Mellon Core Plus Fund A,F00000ZI07,No,No
BNY Mellon Core Plus Fund C,F00000ZI08,No,No
BNY Mellon Core Plus Fund I,F00000ZI09,No,No
BNY Mellon Core Plus Fund Y,FOUSA06KG5,No,No
Keeley Small-Mid Cap Value A,FOUSA06KG9,No,No
Keeley Small-Mid Cap Value I,FOUSA06KGA,No,No
Victory Trivalent Intl Fd-Core Eq R6,F00000VE8D,No,No
Victory Trivalent Intl Fd-Core Eq A,FOUSA06KHF,No,No
Victory Trivalent Intl Fd-Core Eq C,FOUSA06KHG,No,No
Victory Trivalent Intl Fd-Core Eq Y,FOUSA06KHH,No,No
Victory Trivalent Intl Fd-Core Eq I,FOUSA06KHI,No,No
Victory Trivalent International Sm-Cp R6,F00000O2SZ,No,No
Victory Trivalent International Sm-Cp A,FOUSA06KI4,No,No
Victory Trivalent International Sm-Cp C,FOUSA06KI5,No,No
Victory Trivalent International Sm-Cp Y,FOUSA06KI6,No,No
Victory Trivalent International Sm-Cp I,FOUSA06KI7,No,No
Eaton Vance Floating-Rate Advantage R6,F000013P7U,No,No
Eaton Vance Floating-Rate Advantage Adv,FOUSA06KW2,No,No
Eaton Vance Floating-Rate Advantage A,FOUSA06KW3,No,No
Eaton Vance Floating-Rate Advantage C,FOUSA06KW5,No,No
Eaton Vance Floating-Rate Advantage I,FOUSA06KW6,No,No
Goldman Sachs Infl Protected Secs R6,F00000W4U4,No,No
Goldman Sachs Infl Protected Secs P,F000010EHP,No,No
Goldman Sachs Infl Protected Secs A,FOUSA06KWX,No,No
Goldman Sachs Infl Protected Secs C,FOUSA06KWY,No,No
Goldman Sachs Infl Protected Secs Instl,FOUSA06KWZ,No,No
Goldman Sachs Infl Protected Secs R,FOUSA06N0F,No,No
Goldman Sachs Infl Protected Secs Inv,FOUSA06N0G,No,No
BlackRock Master Total Return Portfolio,F00000P14L,No,No
SEI Tax-Managed Mgd Volatility Y (SIMT),F00000U3WK,No,No
SEI Tax-Managed Mgd Volatility F (SIMT),FOUSA06GIS,No,No
Johnson Institutional Short Dur Bd F,F00001078L,No,No
Johnson Institutional Short Dur Bd I,FOUSA06GLD,No,No
Johnson Institutional Intermediate Bd F,F00001078M,No,No
Johnson Institutional Intermediate Bond,FOUSA06GLE,No,No
Johnson Institutional Core Bond F,F00001078N,No,No
Johnson Institutional Core Bond,FOUSA06GLF,No,No
Rational Tactical Return C,F00000WX9C,No,No
Rational Tactical Return A,FOUSA06GLO,No,No
Rational Tactical Return Instl,FOUSA06K0A,No,No
VY? BlackRock Inflation Protected Bd A,FOUSA06GML,No,No
VY? BlackRock Inflation Protected Bd I,FOUSA06GMM,No,No
VY? BlackRock Inflation Protected Bd S,FOUSA06GMN,No,No
Mutual of America 2015 Retirement,FOUSA06GNH,No,No
Mutual of America 2020 Retirement,FOUSA06GNI,No,No
Mutual of America 2025 Retirement,FOUSA06GNJ,No,No
Mutual of America 2030 Retirement,FOUSA06GNK,No,No
Mutual of America 2035 Retirement,FOUSA06GNL,No,No
Mutual of America 2040 Retirement,FOUSA06GNM,No,No
Mutual of America 2045 Retirement,FOUSA06GNN,No,No
Mutual of America Retirement Income,FOUSA06GNO,No,No
Mutual of America International,FOUSA06GNP,No,No
JHancock Emerging Markets A,F00000LYJQ,No,No
JHancock Emerging Markets C,F00000LYJR,No,No
JHancock Emerging Markets I,F00000LYJS,No,No
JHancock Emerging Markets R6,F00000MTC0,No,No
JHancock Emerging Markets NAV,FOUSA06GNT,No,No
Eaton Vance Glbl Macr Absolute Return C,F0000044W5,No,No
Eaton Vance Glbl Macr Absolute Return R,F00000H31W,No,No
Eaton Vance Glb Macr Absolt Retrn R6,F00000Z0QG,No,No
Eaton Vance Glbl Macr Absolute Return A,FOUSA06IAX,No,No
Eaton Vance Glbl Macr Absolute Return I,FOUSA06IAY,No,No
Eaton Vance Global Bond Fund Class C,F00000M1AM,No,No
Eaton Vance Global Bond Fund Class I,F00000M1AN,No,No
Eaton Vance Global Bond Fund Class A,FOUSA06IAZ,No,No
Eaton Vance Emerging Markets Local Inc I,F000005IS5,No,No
Eaton Vance Emerging Markets Local Inc C,F00000J8P6,No,No
Eaton Vance Emerging Markets Local Inc A,FOUSA06IB0,No,No
"Tweedy, Browne Worldwide Hi Div Yld Val",FOUSA06IB5,No,No
Plumb Balanced Institutional,F0000159JC,No,No
Plumb Balanced A,F0000165QT,No,No
Plumb Balanced Investor,FOUSA06ICT,No,No
Plumb Equity Institutional,F0000159JD,No,No
Plumb Equity A,F0000165QU,No,No
Plumb Equity Investor,FOUSA06ICV,No,No
Gabelli ESG AAA,FOUSA06IGC,No,No
Gabelli ESG A,FOUSA06IGG,No,No
Gabelli ESG C,FOUSA06IGI,No,No
Gabelli ESG I,FOUSA06IGK,No,No
Hennessy Japan Small Cap Institutional,F00000VOUO,No,No
Hennessy Japan Small Cap Investor,FOUSA06IH7,No,No
Voya Investment Grade Credit P,F00000OZJ3,No,No
Voya Investment Grade Credit R6,F00000Q01A,No,No
Voya Investment Grade Credit A,F00000XAOP,No,No
Voya Investment Grade Credit I,F00000XAOQ,No,No
Voya Investment Grade Credit W,F00000Z0ZJ,No,No
Voya Investment Grade Credit SMA,FOUSA06IJ7,No,No
JPMorgan Income Builder R6,F00000ZF1I,No,No
JPMorgan Income Builder A,FOUSA06IJZ,No,No
JPMorgan Income Builder C,FOUSA06IK2,No,No
JPMorgan Income Builder I,FOUSA06IK3,No,No
Virtus Stone Harbor EmergMkts Corp Dbt A,F00001D655,No,No
Virtus Stone Harbor Emerging Mkts Debt I,FOUSA06IKF,No,No
Virtus Stone Harbor High Yield Bond A,F00001D657,No,No
Virtus Stone Harbor High Yield Bd I,FOUSA06IKI,No,No
Calvert International Opportunities R6,F000011XK5,No,No
Calvert International Opportunities A,FOUSA06ILH,No,No
Calvert International Opportunities C,FOUSA06ILJ,No,No
Calvert International Opportunities I,FOUSA06ILK,No,No
Access Capital Community Investment IS,F000011TAY,No,No
Access Capital Community Investment I,FOUSA06B5C,No,No
Access Capital Community Investment A,FOUSA08MZX,No,No
Virtus Income & Growth A,FOUSA06B9F,No,No
Virtus Income & Growth C,FOUSA06B9G,No,No
Virtus Income & Growth Inst,FOUSA06B9I,No,No
Virtus Income & Growth P,FOUSA06V9S,No,No
Calamos Global Equity R6,F0000154G7,No,No
Calamos Global Equity A,FOUSA06BAM,No,No
Calamos Global Equity C,FOUSA06BAO,No,No
Calamos Global Equity I,FOUSA06BBR,No,No
Schwab Global Real Estate,FOUSA06BAS,No,No
JHancock Global Shareholder Yield R6,F00000MTCH,No,No
JHancock Global Shareholder Yield R2,F00000NUCP,No,No
JHancock Global Shareholder Yield A,FOUSA06BC6,No,No
JHancock Global Shareholder Yield C,FOUSA06BC8,No,No
JHancock Global Shareholder Yield NAV,FOUSA06BCA,No,No
JHancock Global Shareholder Yield I,FOUSA06BCB,No,No
LSV Conservative Value Equity Investor,F00000T5TR,No,No
LSV Conservative Value Equity,FOUSA06BCQ,No,No
BrandywineGLOBAL Global Opp Bond A,F000003VCX,No,No
BrandywineGLOBAL Global Opp Bond C1,F000003VCY,No,No
BrandywineGLOBAL Global Opp Bond R,F00000MF62,No,No
BrandywineGLOBAL Global Opp Bond C,F00000OJIW,No,No
BrandywineGLOBAL Global Opp Bond IS,FOUSA06BD4,No,No
BrandywineGLOBAL Global Opp Bond FI,FOUSA06BD5,No,No
BrandywineGLOBAL Global Opp Bond I,FOUSA088RV,No,No
Fidelity? Large Cap Value Enhanced Index,FOUSA06BF1,Yes,No
Fidelity? Large Cap Growth Enhanced Idx,FOUSA06BF2,Yes,No
Fidelity? Large Cap Core Enhanced Index,FOUSA06BF3,Yes,No
Fidelity? Series Small Cap Opps,FOUSA06BK2,No,No
Morningstar Agrsv Gr ETF Asset Allc I,FOUSA06BKM,No,No
Morningstar Balanced ETF Asset Allc I,FOUSA06BKO,No,No
Morningstar Cnsrv ETF Asset Allc I,FOUSA06BKQ,No,No
Morningstar Growth ETF Asset Allc I,FOUSA06BKS,No,No
Morningstar Inc & Gr ETF Asset Allc I,FOUSA06BKU,No,No
Goldman Sachs Commodity Strategy R6,F00000W4V6,No,No
Goldman Sachs Commodity Strategy P,F000010DQN,No,No
Goldman Sachs Commodity Strategy C,FOUSA06BKT,No,No
Goldman Sachs Commodity Strategy A,FOUSA06BKX,No,No
Goldman Sachs Commodity Strategy Instl,FOUSA06BKY,No,No
Goldman Sachs Commodity Strategy R,FOUSA06MW9,No,No
Goldman Sachs Commodity Strategy Inv,FOUSA06MWA,No,No
Goldman Sachs Satellite Strategies R6,F00000W4VJ,No,No
Goldman Sachs Satellite Strategies P,F000010DQZ,No,No
Goldman Sachs Satellite Strategies A,FOUSA06BPY,No,No
Goldman Sachs Satellite Strategies C,FOUSA06BPZ,No,No
Goldman Sachs Satellite Strategies Instl,FOUSA06BQ0,No,No
Goldman Sachs Satellite Strategies Inv,FOUSA06N15,No,No
Goldman Sachs Satellite Strategies R,FOUSA06N16,No,No
Goldman Sachs Satellite Strategies Svc,FOUSA07XQO,No,No
Harding Loevner Intl Small Coms Instl,FOUSA06BRD,No,No
Harding Loevner Intl Small Coms Inv,FOUSA06BRE,No,No
Timothy Plan International I,F00000PPAW,No,No
Timothy Plan International A,FOUSA06BRJ,No,No
Timothy Plan International C,FOUSA06BRK,No,No
Timothy Plan High Yield Bond I,F00000PPAX,No,No
Timothy Plan High Yield Bond A,FOUSA06BRL,No,No
Timothy Plan High Yield Bond C,FOUSA06BRM,No,No
Hartford Ultrashort Bond HLS IA,FMUSA001PG,No,No
Hartford Ultrashort Bond HLS IB,FMUSA04AN2,No,No
Hartford Checks and Balances F,F00000YLP2,No,No
Hartford Checks and Balances A,FOUSA06BXQ,No,No
Hartford Checks and Balances C,FOUSA06BXS,No,No
Hartford Checks and Balances I,FOUSA06PA4,No,No
Hartford Checks and Balances R3,FOUSA06V89,No,No
Hartford Checks and Balances R4,FOUSA06V8A,No,No
Hartford Checks and Balances R5,FOUSA06V8B,No,No
Hartford Municipal Opportunities F,F00000YLPN,No,No
Hartford Municipal Opportunities Y,F0000106S9,No,No
Hartford Municipal Opportunities A,FOUSA06BXT,No,No
Hartford Municipal Opportunities C,FOUSA06BXV,No,No
Hartford Municipal Opportunities I,FOUSA06BY0,No,No
Hartford Strategic Income R3,F00000MQKZ,No,No
Hartford Strategic Income R4,F00000MQL0,No,No
Hartford Strategic Income R5,F00000MQL1,No,No
Hartford Strategic Income R6,F00000U60N,No,No
Hartford Strategic Income F,F00000YLPT,No,No
Hartford Strategic Income A,FOUSA06BXW,No,No
Hartford Strategic Income C,FOUSA06BXY,No,No
Hartford Strategic Income I,FOUSA06BY2,No,No
Hartford Strategic Income Y,FOUSA06JCF,No,No
Kinetics Spin-Off and Corp Rest No Load,F00000Z2UC,No,No
Kinetics Spin-Off and Corp Rest Adv A,FOUSA06AZC,No,No
Kinetics Spin-Off and Corp Rest Instl,FOUSA06AZD,No,No
Kinetics Spin-Off and Corp Rest Adv C,FOUSA06GO4,No,No
Pioneer Floating Rate A,FOUSA06B1B,No,No
Pioneer Floating Rate C,FOUSA06B1C,No,No
Pioneer Floating Rate Y,FOUSA06B1D,No,No
Cullen International High Dividend C,FOUSA05HLJ,No,No
Cullen International High Dividend Retl,FOUSA05HME,No,No
Cullen International High Dividend I,FOUSA05ILY,No,No
Cullen International High Dividend R1,FOUSA08PPY,No,No
Cullen International High Dividend R2,FOUSA08PPZ,No,No
Thornburg Global Opportunities R6,F00000Y8CJ,No,No
Thornburg Global Opportunities A,FOUSA05IBO,No,No
Thornburg Global Opportunities C,FOUSA05IBP,No,No
Thornburg Global Opportunities I,FOUSA05IBQ,No,No
Thornburg Global Opportunities R3,FOUSA06OZB,No,No
Thornburg Global Opportunities R4,FOUSA06OZC,No,No
Thornburg Global Opportunities R5,FOUSA06OZD,No,No
Lazard International Strategic Eq R6,F00000QHR3,No,No
Lazard International Strategic Eq Instl,FOUSA05IBR,No,No
Lazard International Strategic Eq Open,FOUSA05IBS,No,No
Northern Active M International Equity,FOUSA05IBT,No,No
Parametric Emerging Markets R6,F00000T3GQ,No,No
Parametric Emerging Markets A,FOUSA05IC4,No,No
Parametric Emerging Markets C,FOUSA05IC5,No,No
Parametric Emerging Markets I,FOUSA05IC6,No,No
BNY Mellon Equity Income Fund Y,F00000Q3FF,No,No
BNY Mellon Equity Income Fund A,FOUSA05IE1,No,No
BNY Mellon Equity Income Fund C,FOUSA05IE2,No,No
BNY Mellon Equity Income Fund I,FOUSA05IE3,No,No
Arrow DWA Tactical Balanced Instl,F00000NDUX,No,No
Arrow DWA Tactical Balanced A,FOUSA05IE7,No,No
Arrow DWA Tactical Balanced C,FOUSA05IE8,No,No
Meeder Balanced Institutional,F00000XM7T,No,No
Meeder Balanced Adviser,F00000XM7U,No,No
Meeder Balanced Retail,FOUSA05IEA,No,No
Meeder Global Allocation Institutional,F00000XM73,No,No
Meeder Global Allocation Adviser,F00000XM7V,No,No
Meeder Global Allocation Retail,FOUSA05IEB,No,No
Hartford Balanced Income I,F000005OK6,No,No
Hartford Balanced Income R5,F00000H14Z,No,No
Hartford Balanced Income R4,F00000H151,No,No
Hartford Balanced Income R3,F00000H152,No,No
Hartford Balanced Income R6,F00000U60M,No,No
Hartford Balanced Income F,F00000YLP0,No,No
Hartford Balanced Income A,FOUSA05IEF,No,No
Hartford Balanced Income C,FOUSA05IEH,No,No
Hartford Balanced Income Y,FOUSA05IG7,No,No
Mercer US Large Cap Equity Y3,FOUSA05IES,No,No
Mercer US Small/Mid Cap Equity Y3,FOUSA05IF3,No,No
Mercer Non-US Core Equity I,FOUSA05IFA,No,No
Mercer Non-US Core Equity Y3,FOUSA05IFC,No,No
Mercer Core Fixed Income I,FOUSA05IFE,No,No
Mercer Core Fixed Income Y3,FOUSA05IFG,No,No
Artisan Sustainable Emerging Markets Adv,F00001DIWD,No,No
Artisan Sustainable Emerging Mkts Inst,FOUSA05IG6,No,No
Artisan Sustainable Emerging Mkts Inv,FOUSA06SJZ,No,No
SMA Relationship M,FOUSA05IGH,No,No
Virtus KAR Small-Cap Value R6,F00000Y4E4,No,No
Virtus KAR Small-Cap Value A,FOUSA05IGN,No,No
Virtus KAR Small-Cap Value C,FOUSA05IGO,No,No
Virtus KAR Small-Cap Value I,FOUSA05IGP,No,No
Virtus KAR Small-Cap Growth R6,F00001025N,No,No
Virtus KAR Small-Cap Growth A,FOUSA05IGQ,No,No
Virtus KAR Small-Cap Growth C,FOUSA05IGR,No,No
Virtus KAR Small-Cap Growth I,FOUSA05IGS,No,No
Voya Balanced Income S,FOUSA05IGT,No,No
Voya Balanced Income I,FOUSA05IGU,No,No
Voya Balanced Income S2,FOUSA05INQ,No,No
Voya Balanced Income A,FOUSA05INT,No,No
DWS RREEF Global Real Estate Secc R6,F00000XYU4,No,No
DWS RREEF Global Real Estate Secc T,F00000YRLF,No,No
DWS RREEF Global Real Estate Secc A,FOUSA05IHL,No,No
DWS RREEF Global Real Estate Secc C,FOUSA05IHM,No,No
DWS RREEF Global Real Estate Secc Inst,FOUSA05IHN,No,No
DWS RREEF Global Real Estate Secc S,FOUSA05IHO,No,No
Camelot Event Driven Institutional,F000005MQ7,No,No
Camelot Event Driven A,FOUSA05J9S,No,No
PIMCO Long Duration Total Return A,F000003YPR,No,No
PIMCO Long Duration Total Return C,F00000ZFKG,No,No
PIMCO Long Duration Total Return Instl,FOUSA05JA4,No,No
PIMCO Long Duration Total Return I2,FOUSA06TQ8,No,No
PIMCO Extended Duration Instl,FOUSA05JA6,No,No
PIMCO Extended Duration I2,FOUSA06TQC,No,No
PIMCO CA Sh Dur Municipal Income Instl,FOUSA05JA8,No,No
PIMCO CA Sh Dur Municipal Income A,FOUSA05JAA,No,No
PIMCO CA Sh Dur Municipal Income I2,FOUSA06TQF,No,No
SEI Long Duration A (SIIT),FOUSA05JB6,No,No
SEI High Yield Bond A (SIIT),FOUSA05JB9,No,No
T. Rowe Price Ltd Dur Infl Focus Bd I,F00000W4JX,No,No
T. Rowe Price Ltd Dur Infl Focus Bd Z,F000014VO8,No,No
T. Rowe Price Ltd Dur Infl Focus Bd,FOUSA05JC7,No,No
American Century Core Plus I,F00000YTCI,No,No
American Century Core Plus G,F000015JA4,No,No
American Century Core Plus R5,FOUSA05JCW,No,No
American Century Core Plus Inv,FOUSA05JCY,No,No
American Century Core Plus A,FOUSA05JCZ,No,No
American Century Core Plus C,FOUSA05JD1,No,No
American Century Core Plus R,FOUSA05JD2,No,No
American Century Short Duration I,F00000YTCJ,No,No
American Century Short Duration R6,F00000ZC63,No,No
American Century Short Duration G,F000015Z9S,No,No
American Century Short Duration R5,FOUSA05JD3,No,No
American Century Short Duration Inv,FOUSA05JD5,No,No
American Century Short Duration A,FOUSA05JD6,No,No
American Century Short Duration C,FOUSA05JD8,No,No
American Century Short Duration R,FOUSA05JDA,No,No
Guggenheim Managed Futures Strategy I,F00000GVBS,No,No
Guggenheim Managed Futures Strategy A,FOUSA05JDI,No,No
Guggenheim Managed Futures Strategy C,FOUSA05JDJ,No,No
Guggenheim Managed Futures Strategy P,FOUSA05JDK,No,No
Stock Dividend,FOUSA05JEE,No,No
Westwood Quality SmallCap Fund A,F000013UU0,No,No
Westwood Quality SmallCap Fund C,F000013UU2,No,No
Westwood Quality SmallCap Fund Ultra,F000014S7A,No,No
Westwood Quality SmallCap Fund Inst,FOUSA05JIX,No,No
Invesco Environmental Focus Muni Y,F00000MN20,No,No
Invesco Environmental Focus Muni R6,F000011GLM,No,No
Invesco Environmental Focus Muni A,FOUSA05JJP,No,No
Invesco Environmental Focus Muni C,FOUSA05JJR,No,No
Janus Henderson Global Equity Income I,F000002LMW,No,No
Janus Henderson Global Equity Income N,F00000WD9H,No,No
Janus Henderson Global Equity Income D,F00000YJX9,No,No
Janus Henderson Global Equity Income S,F00000YJXD,No,No
Janus Henderson Global Equity Income T,F00000YJXE,No,No
Janus Henderson Global Equity Income A,FOUSA05JUB,No,No
Janus Henderson Global Equity Income C,FOUSA05JUC,No,No
Brown Advisory Flexible Equity Inst,F00000OOIY,No,No
Brown Advisory Flexible Equity Adv,FOUSA05JUF,No,No
Brown Advisory Flexible Equity Inv,FOUSA05JUG,No,No
T. Rowe Price Instl Emerging Mkts Bond,FOUSA05JUN,No,No
JNL/BlackRock Global Natural Resources A,FOUSA05JZ0,No,No
JNL/BlackRock Global Natural Resources I,FOUSA05JZ1,No,No
JNL/JPMorgan U.S. Value I,FOUSA05JZC,No,No
JNL/JPMorgan U.S. Value A,FOUSA05JZD,No,No
JNL Moderate Growth Allocation I,F00000Z29P,No,No
JNL Moderate Growth Allocation A,FOUSA05JZE,No,No
JNL Growth Allocation I,F00000Z29Q,No,No
JNL Growth Allocation A,FOUSA05JZF,No,No
JNL Aggressive Growth Allocation I,F00000Z29R,No,No
JNL Aggressive Growth Allocation A,FOUSA05JZG,No,No
GuideStone Funds MyDestination 2015Instl,F00000YMGL,No,No
GuideStone Funds MyDestination 2015 Inv,FOUSA05K1J,No,No
GuideStone Funds MyDestination 2025Instl,F00000YMGM,No,No
GuideStone Funds MyDestination 2025 Inv,FOUSA05K1M,No,No
GuideStone Funds MyDestination 2035Instl,F00000YMGN,No,No
GuideStone Funds MyDestination 2035 Inv,FOUSA05K1P,No,No
GuideStone Funds MyDestination 2045Instl,F00000YMGO,No,No
GuideStone Funds MyDestination 2045 Inv,FOUSA05K1S,No,No
GuideStone Funds Global Bond Instl,F00000VQE4,No,No
GuideStone Funds Global Bond Investor,FOUSA05K1X,No,No
GuideStone Funds Global Rl Est Secs Inst,F00000VQE6,No,No
GuideStone Funds Global Rl Est Secs Inv,FOUSA05K21,No,No
Oakmark Global Select Advisor,F00000XOSZ,No,No
Oakmark Global Select Institutional,F00000XOTI,No,No
Oakmark Global Select R6,F00001684X,No,No
Oakmark Global Select Investor,FOUSA05K4G,No,No
DFA International Real Estate Sec I,FOUSA05K4I,No,No
Glenmede Quant US Long/Short Equity Ins,F000012615,No,No
Glenmede Quant US Long/Short Equity,FOUSA05KH2,No,No
Glenmede Quant US Total Market Equity,FOUSA05KH3,No,No
SEI Emerging Markets Debt A (SIIT),FOUSA05KHB,No,No
SEI Emerging Markets Equity A (SIIT),FOUSA05KKM,No,No
AAM/Phocas Real Estate A,F000010IS3,No,No
AAM/Phocas Real Estate I,FOUSA05KKV,No,No
Templeton Emerging Markets Small Cap R6,F00000ZCEW,No,No
Templeton Emerging Markets Small Cap A,FOUSA05KQC,No,No
Templeton Emerging Markets Small Cap C,FOUSA05KQD,No,No
Templeton Emerging Markets Small Cap R,FOUSA05KQE,No,No
Templeton Emerging Markets Small Cap Adv,FOUSA05KQF,No,No
Appleseed Institutional,F00000JS80,No,No
Appleseed Investor,FOUSA05KQH,No,No
Goldman Sachs International Eq Inc R6,F00000WWZA,No,No
Goldman Sachs International Eq Inc P,F000010DRY,No,No
Goldman Sachs International Eq Inc A,FOUSA05LKP,No,No
Goldman Sachs International Eq Inc C,FOUSA05LKR,No,No
Goldman Sachs International Eq Inc Instl,FOUSA05LKS,No,No
Goldman Sachs International Eq Inc Inv,FOUSA06N1A,No,No
Goldman Sachs International Eq Inc R,FOUSA06N1B,No,No
Goldman Sachs Small Cp Val Insghts R6,F00000VRI9,No,No
Goldman Sachs Small Cp Val Insghts P,F000010DRZ,No,No
Goldman Sachs Small Cp Val Insghts A,FOUSA05LKU,No,No
Goldman Sachs Small Cp Val Insghts C,FOUSA05LKW,No,No
Goldman Sachs Small Cp Val Insghts Instl,FOUSA05LKX,No,No
Goldman Sachs Small Cp Val Insghts Inv,FOUSA06N1P,No,No
Goldman Sachs Small Cp Val Insghts R,FOUSA06N1Q,No,No
Goldman Sachs Small Cap Gr Insghts R6,F00000VRIA,No,No
